category,nb_domains,sol_price
emoji-flag-club,1.0,1.41
3-letters,1.0,0.713
mnemonic-club,2.0,0.371
0x10k-club,1.0,0.002
english-verbs,1.0,0.391
0xemojis,1.0,0.001
3-letter-palindromes,2.0,1.0
24h-club,1.0,0.008
strobogrammatic-club,7.0,0.112
0x99-club,1.0,0.01
2-letter-palindromes,1.0,0.2
3-digit-palindromes,1.0,17.5
english-nouns,1.0,0.46
double-emoji,1.0,0.32
spanish-nouns,1.0,0.1
countries,1.0,0.7
0x999-club,1.0,0.001
2-digit-palindromes,1.0,20.0
months,1.0,2.5
9-club,1.0,100.0
english-adjectives,2.0,0.1
999-club,1.0,15.2
single-emoji,2.0,0.85
3l-months,1.0,0.005
100k-club,1.0,0.163
2-letters,1.0,10.0
4-digit-palindromes,1.0,5.6
4-letter-dictionary,5.0,0.1
triple-emoji,7.0,0.3
1-letter,1.0,12.5
99-club,1.0,31.0
5-letter-dictionary,5.0,0.115
10k-club,2.0,1.31
5-digit-palindromes,5.0,0.2
surnames,5.0,0.1
