,category,nb_domains,sol_price,domain_name,me_price,expected_profit,timestamp
0,emoji-flag-club,1.0,1.41,🇹🇯,45.0,-43.59,2023-07-25 13:26:01
1,3-letters,1.0,0.713,wmd,2.7,-1.99,2023-07-25 13:26:01
2,mnemonic-club,2.0,0.371,bless,1.0,-0.63,2023-07-25 13:26:01
3,0x10k-club,1.0,0.002,0x0011,0.56,-0.56,2023-07-25 13:26:01
4,english-verbs,1.0,0.391,migrate,0.8,-0.41,2023-07-25 13:26:01
6,3-letter-palindromes,2.0,1.0,uhu,15.0,-14.0,2023-07-25 13:26:01
7,24h-club,1.0,0.008,04h20,6.69,-6.68,2023-07-25 13:26:01
8,strobogrammatic-club,7.0,0.112,106901,2.0,-1.89,2023-07-25 13:26:01
9,0x99-club,1.0,0.01,0x51,7.3,-7.29,2023-07-25 13:26:01
11,3-digit-palindromes,1.0,17.5,454,59.0,-41.5,2023-07-25 13:26:01
12,english-nouns,1.0,0.46,approach,0.8,-0.34,2023-07-25 13:26:01
13,double-emoji,1.0,0.32,🦿🦿,0.5,-0.18,2023-07-25 13:26:01
14,spanish-nouns,1.0,0.1,duda,0.8,-0.7,2023-07-25 13:26:01
15,countries,1.0,0.7,lesotho,12.0,-11.3,2023-07-25 13:26:01
16,0x999-club,1.0,0.001,0x113,0.66,-0.66,2023-07-25 13:26:01
20,english-adjectives,2.0,0.1,gloomy,0.8,-0.7,2023-07-25 13:26:01
21,999-club,1.0,15.2,374,17.69,-2.49,2023-07-25 13:26:01
22,single-emoji,2.0,0.85,💂🏽,2.25,-1.4,2023-07-25 13:26:01
24,100k-club,1.0,0.163,01650,0.24,-0.08,2023-07-25 13:26:01
25,2-letters,1.0,10.0,ej,49.0,-39.0,2023-07-25 13:26:01
26,4-digit-palindromes,1.0,5.6,1441,19.8,-14.2,2023-07-25 13:26:01
27,4-letter-dictionary,5.0,0.1,pein,0.8,-0.7,2023-07-25 13:26:01
28,triple-emoji,7.0,0.3,🔈🔈🔈,0.7,-0.4,2023-07-25 13:26:01
29,1-letter,1.0,12.5,w,909.0,-896.5,2023-07-25 13:26:01
30,99-club,1.0,31.0,75,180.0,-149.0,2023-07-25 13:26:01
31,5-letter-dictionary,5.0,0.115,tykes,0.456,-0.34,2023-07-25 13:26:01
32,10k-club,2.0,1.31,1533,2.0,-0.69,2023-07-25 13:26:01
33,5-digit-palindromes,5.0,0.2,03530,0.95,-0.75,2023-07-25 13:26:01
34,surnames,5.0,0.1,garnett,0.8,-0.7,2023-07-25 13:26:01
